id,x,y,z,vx,vy,vz
10774,-1542.838642,-578.125729,-1308.558042,-358.198957,-134.222742,-303.806318
10775,23.587423,13.564883,14.633895,5.470166,3.145836,3.393751
10776,21.159774,17.806091,5.356701,5.021384,4.225528,1.271188
10777,-125.678776,-25.908580,-28.424766,-25.853063,-5.329588,-5.847187
10778,8.594259,40.264664,-59.756374,1.840714,8.623863,-12.798587
10779,-40.708861,-20.491330,-34.337876,-10.750476,-5.411391,-9.068014
10780,-190.904176,-36.690365,106.825047,-40.628790,-7.808552,22.734822
10781,181.613263,319.790368,255.304480,49.387698,86.963418,69.427202
10782,0.260620,-78.893505,-137.230909,0.048483,-14.676583,-25.529109
10783,42.697123,-9.979705,43.969708,11.699749,-2.734612,12.048460
10784,27.706624,-89.135472,-11.645011,4.690246,-15.089074,-1.971296
10785,-343.805355,-156.334602,-16.476337,-59.148607,-26.895957,-2.834605
10786,37.338887,12.227847,-10.965071,8.252001,2.702389,-2.423312
10787,-14.705117,-14.166476,12.871710,-3.079438,-2.966639,2.695499
10788,-1.815985,-10.827411,6.339601,-0.364461,-2.173021,1.272334
10789,17.703087,34.556778,60.445191,3.370111,6.578523,11.506862
10790,111.610231,208.040745,327.429144,22.474950,41.893160,65.934399
10791,-43.599387,-8.282244,-11.954884,-8.444268,-1.604093,-2.315405
10792,3720.892426,-1133.556334,-4965.398585,791.852269,-241.234912,-1056.698685
10793,139.649536,-63.664363,29.885861,30.973480,-14.120397,6.628515
10794,132.397300,-132.287473,-26.564366,32.009207,-31.982654,-6.422369
10795,-16.357395,-27.754461,-7.050745,-3.402344,-5.772938,-1.466557
10796,18.953363,19.439316,-28.894710,4.413870,4.527039,-6.729017
10797,3.548380,2.521443,4.788166,0.750293,0.533151,1.012442
10798,-11.237585,12.103295,12.688959,-2.430384,2.617614,2.744277
10799,22.596427,35.909648,-15.791585,5.244942,8.335124,-3.665445
10800,-128.270445,125.586837,-33.665421,-32.559033,31.877849,-8.545332
10801,80.164385,50.548636,52.995402,15.042437,9.485193,9.944317
10802,184.592750,59.488728,-224.692282,45.717361,14.733340,-55.648654
10803,46.565651,-64.738722,8.042324,8.865108,-12.324874,1.531087
10804,-20.856379,-87.462249,33.019374,-4.277422,-17.937580,6.771924
10805,-105.136845,273.207100,-44.734076,-17.606427,45.751811,-7.491258
10806,7189.698074,5126.601660,4307.095496,1549.415057,1104.807701,928.200120
10807,4.371334,-29.618330,-35.429962,0.831917,-5.636722,-6.742746
10808,-32.074294,36.290329,29.208596,-8.821837,9.981431,8.033644
10809,-97.649705,-88.742201,44.464984,-22.673184,-20.604960,10.324279
10810,-74.239631,-73.601467,92.693421,-15.132796,-15.002714,18.894364
10811,8.629947,-15.884167,-3.951789,1.759777,-3.239023,-0.805830
10812,-35.229057,-40.128134,42.799052,-6.805330,-7.751703,8.267654
10813,-3.061132,-42.545819,12.142510,-0.643253,-8.940389,2.551573
10814,-9.356883,20.063232,4.195390,-2.033500,4.360274,0.911770
10815,-5.057061,2.367597,-14.618608,-0.893845,0.418477,-2.583867
10816,7.000758,-6.471074,-26.412003,1.432400,-1.324023,-5.404065
10817,10.895591,-2.859051,-18.658706,2.405268,-0.631153,-4.119023
10818,-2754.559072,-4072.868889,909.128258,-586.204574,-866.757368,193.473848
10819,-2.562187,-19.477399,26.158539,-0.429375,-3.264047,4.383681
10820,48.436132,-36.542964,23.392094,9.114675,-6.876628,4.401907
10821,42.551139,25.885383,43.648121,8.317103,5.059592,8.531520
10822,-111.440568,21.780771,117.802324,-29.971584,5.857869,31.682558
10823,-22.092065,-8.789620,-0.615740,-4.149656,-1.650996,-0.115657
10824,-169.319647,110.260630,159.807087,-43.438375,28.286987,40.997961
10825,70.638815,-22.858040,-41.355902,15.518087,-5.021504,-9.085153
10826,17.271802,-17.433626,-35.997985,3.175100,-3.204848,-6.617560
