id,x,y,z,vx,vy,vz
2272,151.436885,-640.362563,341.566832,31.245144,-132.122504,70.473616
2273,-7.081314,16.515811,-40.750364,-1.157168,2.698873,-6.659077
2274,27.279304,-19.829583,7.594424,6.501896,-4.726289,1.810096
2275,-2088.352338,3247.910081,3020.637455,-543.480056,845.247385,786.101169
2276,59.979017,12.521272,99.505759,12.529647,2.615700,20.786804
2277,2436.193626,-9462.295219,3819.273319,403.626685,-1567.705791,632.774265
2278,10.080104,13.293851,-31.051461,1.685517,2.222895,-5.192187
2279,-33.769095,35.731269,-5.630004,-7.737199,8.186774,-1.289950
2280,-76.129581,-67.908164,-56.570842,-21.666189,-19.326405,-16.099846
2281,779.023951,-540.657639,-1472.328937,147.009390,-102.027351,-277.842778
2282,106.014991,-52.867263,68.468357,20.599505,-10.272504,13.303914
2283,-10.666169,-7.483414,3.140323,-2.416044,-1.695103,0.711329
2284,-16.024143,-9.299007,2.040330,-3.278319,-1.902449,0.417423
2285,-192.930683,46.207868,-61.043998,-34.886854,8.355577,-11.038333
2286,-46.532044,43.894628,24.824656,-12.378519,11.676910,6.603890
2287,16.148608,2.698443,7.138397,3.209801,0.536360,1.418873
2288,26.295589,24.713280,-11.448179,4.971983,4.672799,-2.164627
2289,-2101.696922,1027.330225,1855.487132,-394.329732,192.752270,348.134755
2290,63.539881,-22.352288,84.761969,10.069380,-3.542243,13.432517
2291,114.411589,83.125881,44.725019,25.457892,18.496463,9.951830
2292,-76.666098,-4.022436,-109.552757,-16.419392,-0.861475,-23.462648
2293,200.962766,-33.273379,-213.262022,54.447581,-9.014879,-57.779864
2294,-7.809052,-148.398569,25.703950,-1.582113,-30.065531,5.207617
2295,-20.326045,-17.561647,-27.612504,-4.296579,-3.712232,-5.836812
2296,-106.615810,1.336649,142.433318,-23.050396,0.288984,30.794161
2297,-48.149051,26.888208,54.721748,-11.445653,6.391676,13.008069
2298,107.321944,57.310229,24.327476,24.591717,13.132048,5.574390
2299,89.627144,-225.690875,-136.184200,17.111414,-43.088397,-25.999983
2300,31.588757,-47.361740,69.280034,5.524982,-8.283731,12.117315
2301,-243.423970,-615.536421,-186.511758,-45.936819,-116.158590,-35.196850
2302,20.676900,-8.618386,2.114720,3.812699,-1.589180,0.389942
2303,67.039116,125.806870,-62.050649,12.054703,22.622083,-11.157697
2304,60.790759,47.022291,-28.131107,15.879968,12.283322,-7.348503
2305,-7939.957520,7006.497894,2283.129759,-1849.550817,1632.108720,531.837166
2306,15.885892,42.508156,-9.356828,3.049840,8.160895,-1.796363
2307,-224.248437,589.670815,-248.999220,-42.196229,110.956782,-46.853518
2308,-1235.193860,-445.571467,-814.864994,-243.567705,-87.862175,-160.683114
2309,3.439153,-3.017679,-0.163425,0.462956,-0.406220,-0.021999
2310,38.208294,-145.963416,-101.464412,8.260665,-31.557413,-21.936691
2311,29.425110,23.917149,-41.352025,6.421885,5.219800,-9.024876
2312,-3439.257569,7033.702451,328.998066,-700.986503,1433.603150,67.056101
2313,-85.774525,61.740774,-85.991267,-25.083552,18.055220,-25.146935
2314,-26.656176,143.297917,-67.685235,-5.818279,31.277830,-14.773748
